Date,Open,High,Low,Close,Volume
10-Nov-15,1.35,1.64,1.35,1.60,2680345
9-Nov-15,1.91,1.93,1.54,1.56,3935013
6-Nov-15,1.69,1.74,1.61,1.66,2241193
5-Nov-15,1.58,1.67,1.58,1.61,1040492
4-Nov-15,1.84,1.87,1.52,1.60,2204133
3-Nov-15,1.73,1.90,1.73,1.80,2704637
2-Nov-15,1.50,2.05,1.50,1.73,6195764
30-Oct-15,1.50,1.61,1.48,1.50,1549544
29-Oct-15,1.47,1.65,1.42,1.48,1428462
28-Oct-15,1.40,1.70,1.40,1.51,2299451
27-Oct-15,1.81,1.95,1.46,1.55,4511331
26-Oct-15,2.60,2.63,2.00,2.01,3367780
23-Oct-15,2.85,2.91,2.51,2.63,1627034
22-Oct-15,3.20,3.34,2.72,2.75,1733052
21-Oct-15,3.51,3.54,3.15,3.21,1453056
20-Oct-15,3.30,3.57,3.15,3.45,1147543
19-Oct-15,4.08,4.28,3.29,3.39,3116774
16-Oct-15,3.99,4.15,3.82,4.05,1398934
15-Oct-15,3.95,4.15,3.82,4.00,1971850
14-Oct-15,4.00,4.20,3.87,3.91,1379625
13-Oct-15,3.82,4.14,3.65,3.83,1241406
12-Oct-15,4.30,4.39,4.04,4.09,1810988
9-Oct-15,4.44,4.73,4.20,4.25,2335638
8-Oct-15,4.06,4.32,3.80,4.32,2017643
7-Oct-15,4.80,4.80,3.91,4.00,3798928
6-Oct-15,3.44,4.75,3.42,4.66,5440292
5-Oct-15,3.57,3.74,3.40,3.48,1379877
2-Oct-15,3.48,3.52,3.20,3.49,1257186
1-Oct-15,3.14,3.78,3.02,3.38,3100228
30-Sep-15,3.43,3.64,3.09,3.30,1618963
29-Sep-15,2.94,3.66,2.88,3.32,2840463
28-Sep-15,3.20,3.21,2.71,2.94,1542883
25-Sep-15,4.22,4.23,2.85,3.01,3629338
24-Sep-15,3.49,4.43,3.30,3.81,7301599
23-Sep-15,3.10,3.19,2.74,2.77,1431460
22-Sep-15,3.66,3.75,2.94,3.15,1532834
21-Sep-15,3.52,3.88,3.51,3.58,1295064
18-Sep-15,3.56,3.65,3.38,3.48,1937002
17-Sep-15,3.99,4.00,3.60,3.62,1760831
16-Sep-15,3.77,4.15,3.69,3.98,2647326
15-Sep-15,4.89,5.22,3.85,3.90,5391103
14-Sep-15,3.86,5.03,3.61,4.85,3582461
11-Sep-15,3.97,4.24,3.59,3.93,2135306
10-Sep-15,4.36,4.36,3.95,4.01,1372954
9-Sep-15,4.11,4.68,4.03,4.36,3992784
8-Sep-15,5.62,5.69,3.91,3.98,7254712
4-Sep-15,5.94,6.18,5.25,5.41,4343987
3-Sep-15,7.38,7.79,6.26,6.44,3889031
2-Sep-15,6.88,7.70,5.75,7.20,6110982
1-Sep-15,8.69,9.75,6.18,6.41,10380257
31-Aug-15,7.74,10.35,7.55,9.31,9831584
28-Aug-15,6.92,8.50,6.48,8.21,9283810
27-Aug-15,5.60,7.35,5.35,7.03,11359460
26-Aug-15,4.38,5.20,4.09,5.09,5891887
