Date,Open,High,Low,Close,Volume
10-Nov-15,75.41,75.41,74.43,74.74,155657
9-Nov-15,76.46,77.00,75.14,75.43,133308
6-Nov-15,77.05,77.38,76.30,77.13,95566
5-Nov-15,79.19,79.85,78.77,79.05,78756
4-Nov-15,80.65,80.83,78.90,79.60,118149
3-Nov-15,77.70,80.17,77.62,79.33,218367
2-Nov-15,77.61,78.36,77.18,78.28,140146
30-Oct-15,78.16,79.11,77.73,78.63,140645
29-Oct-15,78.51,78.51,76.78,77.46,184031
28-Oct-15,78.41,80.42,77.78,79.19,199203
27-Oct-15,78.17,78.74,77.90,78.42,105292
26-Oct-15,80.11,80.29,79.10,79.25,215057
23-Oct-15,82.61,82.86,81.53,82.38,117136
22-Oct-15,80.62,82.00,80.62,81.86,125068
21-Oct-15,82.16,82.20,80.23,80.23,103967
20-Oct-15,82.42,82.91,81.77,82.08,130290
19-Oct-15,83.00,83.57,82.30,82.86,123358
16-Oct-15,83.56,84.05,82.34,83.97,171486
15-Oct-15,82.95,83.43,81.02,83.43,215699
14-Oct-15,81.18,82.02,80.56,80.86,219188
13-Oct-15,80.17,80.77,79.14,79.30,142955
12-Oct-15,82.13,82.47,80.43,80.97,169971
9-Oct-15,81.89,82.10,79.79,80.09,196997
8-Oct-15,78.97,81.09,78.00,81.02,202330
7-Oct-15,80.80,81.66,78.30,79.48,295768
6-Oct-15,74.42,75.84,74.38,75.52,264832
5-Oct-15,72.88,73.62,72.73,73.37,201812
2-Oct-15,70.57,72.97,70.20,72.89,121973
1-Oct-15,70.61,71.15,69.36,70.34,251905
30-Sep-15,69.65,70.66,68.54,69.70,204424
29-Sep-15,67.12,68.10,67.12,67.69,142505
28-Sep-15,69.96,69.96,68.86,69.22,154800
25-Sep-15,72.03,72.22,70.72,70.76,98728
24-Sep-15,70.57,71.57,70.04,71.44,127889
23-Sep-15,72.50,72.56,70.90,71.03,111118
22-Sep-15,73.48,74.14,72.75,73.45,142867
21-Sep-15,73.97,74.16,73.17,73.63,139682
18-Sep-15,74.48,74.77,73.20,73.56,125469
17-Sep-15,75.21,76.98,74.96,75.62,130083
16-Sep-15,75.99,77.16,75.63,76.83,175248
15-Sep-15,73.45,74.70,73.33,74.22,140295
14-Sep-15,73.88,73.94,72.94,73.71,106885
11-Sep-15,74.49,74.60,73.88,74.43,106866
10-Sep-15,76.85,77.87,76.34,76.99,162418
9-Sep-15,80.09,80.49,77.25,77.41,254656
8-Sep-15,76.47,76.71,75.69,76.50,202136
4-Sep-15,74.99,74.99,73.00,73.32,297378
3-Sep-15,78.25,80.19,78.15,78.43,170920
2-Sep-15,78.33,78.33,76.29,78.06,211964
1-Sep-15,79.37,79.80,77.40,77.74,450931
31-Aug-15,83.72,84.20,81.80,83.54,273280
28-Aug-15,84.66,85.67,84.33,85.14,189706
27-Aug-15,84.08,88.10,84.08,87.09,331785
26-Aug-15,82.46,82.70,80.02,82.19,169786
25-Aug-15,83.09,83.34,79.12,79.36,234552
24-Aug-15,77.90,83.00,77.34,79.29,285051
21-Aug-15,85.27,85.54,83.14,83.16,161706
