Date,Open,High,Low,Close,Volume
10-Nov-15,81.93,82.61,81.86,82.35,14238006
9-Nov-15,83.56,83.60,81.80,81.95,13551176
6-Nov-15,83.93,84.47,83.22,84.47,12491678
5-Nov-15,85.55,86.23,84.50,84.81,12291124
4-Nov-15,86.77,87.08,85.70,85.98,14245441
3-Nov-15,85.66,87.44,85.58,86.85,20115909
2-Nov-15,82.30,85.93,82.09,85.28,21266523
30-Oct-15,82.47,83.88,81.26,82.74,18758594
29-Oct-15,81.79,83.22,81.79,82.23,10341163
28-Oct-15,81.31,82.58,80.93,82.28,12473034
27-Oct-15,80.57,81.16,79.73,81.09,13579364
26-Oct-15,82.52,82.73,81.17,81.22,12576449
23-Oct-15,82.41,83.00,81.89,82.98,13215678
22-Oct-15,80.68,82.96,80.66,82.89,14823462
21-Oct-15,80.86,81.15,80.11,80.21,10286440
20-Oct-15,80.55,81.06,80.20,80.83,12340108
19-Oct-15,82.01,82.17,80.76,80.99,14155779
16-Oct-15,82.26,82.50,81.45,82.48,14304431
15-Oct-15,80.19,81.53,79.90,81.48,13640875
14-Oct-15,78.97,80.48,78.78,80.16,14485998
13-Oct-15,78.72,79.55,78.49,79.16,12326598
12-Oct-15,79.59,79.59,78.72,79.30,9931754
9-Oct-15,80.05,80.16,78.62,79.26,17384670
8-Oct-15,79.31,80.11,78.54,80.03,14344692
7-Oct-15,78.97,79.29,77.53,79.20,18703210
6-Oct-15,76.96,78.56,76.26,77.89,18757917
5-Oct-15,76.65,77.15,75.79,76.81,18486731
2-Oct-15,73.39,75.90,73.03,75.88,18811345
1-Oct-15,75.20,75.58,73.30,74.06,14397814
30-Sep-15,73.40,74.35,73.33,74.35,18176502
29-Sep-15,72.65,73.19,72.14,72.97,13754439
28-Sep-15,72.62,73.46,72.40,72.60,14571908
25-Sep-15,73.29,73.53,72.76,73.23,15175317
24-Sep-15,72.00,73.15,71.72,72.73,14584249
23-Sep-15,72.87,73.20,72.29,72.30,13784836
22-Sep-15,72.35,73.52,72.02,72.74,14245205
21-Sep-15,73.10,73.61,72.73,73.39,10852972
18-Sep-15,73.26,73.56,72.12,72.68,23180160
17-Sep-15,74.41,75.47,73.85,74.46,15603018
16-Sep-15,73.51,74.70,73.37,74.30,15214174
15-Sep-15,72.44,73.31,72.41,72.86,11979773
