Date,Open,High,Low,Close,Volume
10-Nov-15,160.44,161.16,156.87,157.29,1502257
9-Nov-15,161.56,162.64,160.29,161.21,1290380
6-Nov-15,160.84,162.08,159.10,161.82,1243968
5-Nov-15,161.29,163.28,155.79,159.93,2718416
4-Nov-15,167.16,169.00,165.12,166.41,955950
3-Nov-15,163.77,168.31,163.23,167.28,1268371
2-Nov-15,161.80,165.57,159.71,164.13,1498416
30-Oct-15,160.50,163.37,158.76,161.00,1105804
29-Oct-15,162.38,163.05,157.06,157.90,1251893
28-Oct-15,159.13,164.78,156.20,163.85,2178087
27-Oct-15,152.36,158.99,150.21,158.60,2706614
26-Oct-15,158.19,159.14,153.51,154.11,2365058
23-Oct-15,161.10,163.60,155.10,159.20,3678883
22-Oct-15,162.00,166.50,161.53,166.14,1573664
21-Oct-15,167.26,167.53,157.42,159.81,2316974
20-Oct-15,168.16,169.10,164.52,166.06,1188675
19-Oct-15,171.25,173.98,166.20,167.96,1446117
16-Oct-15,170.32,172.09,169.05,171.78,1020753
15-Oct-15,165.04,171.31,165.00,170.66,1384579
14-Oct-15,167.60,167.60,162.44,164.32,1207222
13-Oct-15,166.70,171.00,165.50,167.13,1278463
12-Oct-15,170.23,171.00,166.35,167.81,1556850
9-Oct-15,169.00,172.60,167.25,171.88,1057267
8-Oct-15,174.75,174.75,167.64,169.59,1394140
7-Oct-15,175.58,177.79,171.23,174.98,1282861
6-Oct-15,177.50,178.74,171.02,174.12,1027470
5-Oct-15,177.20,178.76,174.01,177.24,1275849
2-Oct-15,169.20,175.70,168.11,175.21,1769364
1-Oct-15,170.53,173.67,167.62,171.66,1252080
30-Sep-15,170.00,172.99,165.94,172.00,1664548
29-Sep-15,175.52,176.00,166.11,167.81,2098703
28-Sep-15,179.60,181.60,173.79,175.70,2024590
25-Sep-15,183.24,184.88,179.75,180.81,1316644
24-Sep-15,178.39,181.10,176.79,180.77,1088377
23-Sep-15,180.03,180.65,177.12,179.30,1343620
22-Sep-15,182.07,184.43,177.78,180.09,2174710
21-Sep-15,185.12,189.72,181.82,185.40,1591387
18-Sep-15,181.90,186.16,181.38,184.98,1848584
17-Sep-15,183.17,186.63,181.31,184.28,1112305
16-Sep-15,183.40,183.69,180.66,182.55,1064817
15-Sep-15,179.99,183.98,179.67,183.19,1631307
14-Sep-15,176.50,179.74,175.05,179.54,1474266
11-Sep-15,177.68,179.46,174.42,177.39,1932979
10-Sep-15,174.78,179.68,170.00,177.40,4861395
9-Sep-15,168.87,169.50,165.05,165.17,2966585
8-Sep-15,165.64,166.74,162.23,166.47,1217048
4-Sep-15,160.04,164.81,158.60,162.39,1528522
3-Sep-15,165.57,165.77,161.37,162.04,1823758
2-Sep-15,165.05,165.05,158.61,163.59,1128097
1-Sep-15,160.29,166.52,160.23,161.85,1409605
31-Aug-15,167.44,169.47,163.11,164.22,1353360
28-Aug-15,167.20,169.73,165.86,168.00,971864
27-Aug-15,170.00,171.07,164.65,167.78,1867311
26-Aug-15,162.68,169.00,160.95,167.95,2025342
25-Aug-15,160.81,164.74,158.12,158.40,1873925
24-Aug-15,146.13,159.24,140.39,155.01,3427270
21-Aug-15,153.95,164.32,151.07,158.99,3467754
20-Aug-15,170.38,172.32,159.50,160.62,2685495
19-Aug-15,172.87,175.94,171.41,174.12,867544
18-Aug-15,175.77,177.48,173.15,173.65,502312
17-Aug-15,172.86,176.40,171.17,175.77,598869
14-Aug-15,171.76,174.06,170.87,173.54,706405
