Date,Open,High,Low,Close,Volume
10-Nov-15,81.10,82.43,79.62,81.43,22004409
9-Nov-15,83.44,83.47,80.22,81.38,19091538
6-Nov-15,85.53,86.35,80.77,83.61,38530985
5-Nov-15,85.22,86.42,84.20,85.38,20657187
4-Nov-15,84.45,85.60,84.03,85.40,23728526
3-Nov-15,84.00,84.59,83.13,83.44,11641315
2-Nov-15,83.52,84.83,82.75,84.35,13827413
30-Oct-15,82.70,84.44,82.60,83.83,20740519
29-Oct-15,81.97,82.53,80.82,82.22,16431699
28-Oct-15,79.48,82.54,79.20,82.35,25027054
27-Oct-15,82.11,82.79,78.25,79.44,50815752
26-Oct-15,75.44,77.42,75.13,76.35,24819715
23-Oct-15,73.98,75.76,72.84,75.62,22510817
22-Oct-15,70.16,71.63,70.07,70.99,10811421
21-Oct-15,71.66,71.79,68.89,69.48,16861233
20-Oct-15,72.99,73.00,71.55,71.79,11093433
19-Oct-15,71.80,73.00,71.52,72.65,10886932
16-Oct-15,72.50,73.64,71.21,71.99,15953520
15-Oct-15,69.34,72.44,69.26,71.78,18202981
14-Oct-15,69.50,69.70,67.42,68.54,12286059
13-Oct-15,69.49,70.32,68.38,69.68,13052831
12-Oct-15,69.64,70.47,69.00,70.30,15549080
9-Oct-15,68.20,69.45,67.31,68.71,14762889
8-Oct-15,66.04,68.41,65.96,67.70,18667535
7-Oct-15,64.84,66.66,64.38,66.28,15798364
6-Oct-15,63.72,64.73,63.28,63.92,9620882
5-Oct-15,63.47,64.78,62.20,63.93,13583461
2-Oct-15,58.36,63.24,58.20,63.20,22356301
1-Oct-15,59.50,59.83,58.23,58.87,8147714
30-Sep-15,58.87,60.08,58.35,58.97,16767074
29-Sep-15,57.30,58.65,57.20,57.82,16771037
28-Sep-15,58.81,60.12,57.32,57.39,20661638
25-Sep-15,60.63,60.84,58.92,59.24,17009052
24-Sep-15,59.42,60.34,58.21,59.92,20645737
23-Sep-15,61.96,62.30,59.68,60.00,22684620
22-Sep-15,62.94,63.27,61.58,61.90,14897867
21-Sep-15,65.38,66.40,62.96,63.90,22355098
18-Sep-15,65.40,65.75,64.01,65.75,20127316
17-Sep-15,66.41,66.65,65.60,66.00,16594558
16-Sep-15,65.61,68.08,65.26,67.23,25801007
15-Sep-15,61.45,65.36,61.11,64.85,29035034
14-Sep-15,62.55,63.26,61.48,62.60,26763268
11-Sep-15,63.37,64.79,62.70,64.63,17746965
10-Sep-15,63.52,64.25,63.34,63.83,13234963
9-Sep-15,62.73,64.67,62.53,64.04,33147863
8-Sep-15,65.78,66.81,60.25,60.91,50328411
4-Sep-15,65.40,65.57,63.34,63.91,18186409
3-Sep-15,65.82,66.89,65.41,66.47,15803187
2-Sep-15,65.69,66.00,64.97,65.54,13376254
1-Sep-15,64.38,66.84,64.05,64.83,23460927
31-Aug-15,69.18,69.30,66.02,66.12,18479893
28-Aug-15,69.68,70.50,69.04,70.07,10604633
27-Aug-15,70.84,71.59,70.02,70.84,18123836
26-Aug-15,68.95,69.45,65.75,68.66,26389196
25-Aug-15,68.84,70.33,67.49,68.57,29948392
24-Aug-15,58.16,67.48,58.00,65.80,31376441
21-Aug-15,69.32,70.66,68.18,68.18,29128632
20-Aug-15,71.98,72.78,70.03,70.32,20995615
19-Aug-15,73.15,73.56,72.81,73.12,18179411
18-Aug-15,74.05,75.13,73.73,73.88,11155139
17-Aug-15,74.85,75.24,74.16,75.19,12677386
14-Aug-15,74.53,75.49,74.46,74.76,12367296
13-Aug-15,74.00,76.73,73.66,75.11,23230714
12-Aug-15,72.32,73.85,71.03,73.38,41189332
11-Aug-15,79.48,80.00,76.15,77.34,22976585
10-Aug-15,79.86,80.99,79.50,80.47,11276691
7-Aug-15,79.65,80.20,78.66,78.82,8738846
6-Aug-15,79.85,80.75,78.64,78.96,9297795
5-Aug-15,79.59,80.42,79.48,79.82,7502631
4-Aug-15,78.07,79.35,77.80,78.87,8501158
3-Aug-15,78.20,78.50,77.11,77.99,9276951
31-Jul-15,79.85,79.90,78.20,78.34,12686961
30-Jul-15,80.11,80.64,79.45,79.96,6934742
29-Jul-15,80.98,81.37,80.01,80.26,7177109
28-Jul-15,80.67,80.80,79.25,80.56,12122816
27-Jul-15,80.85,81.70,79.68,81.40,12185711
24-Jul-15,85.17,85.38,82.65,83.02,8759920
23-Jul-15,84.66,84.97,83.25,83.88,7452287
22-Jul-15,82.16,84.75,82.00,84.15,11209240
21-Jul-15,83.11,83.25,82.22,82.54,5750662
20-Jul-15,83.56,83.68,82.05,82.67,8126115
17-Jul-15,81.99,83.70,81.58,83.36,14505365
16-Jul-15,81.39,82.00,80.90,81.53,8604535
15-Jul-15,80.90,81.50,80.21,80.73,9514204
14-Jul-15,81.58,82.02,81.13,81.50,7519316
13-Jul-15,80.92,82.20,80.70,81.86,10350512
10-Jul-15,81.13,81.20,79.84,80.30,11224480
9-Jul-15,80.93,81.19,79.04,79.04,19778690
8-Jul-15,76.58,78.79,76.22,77.94,22714886
7-Jul-15,79.45,79.79,76.21,79.62,34221659
6-Jul-15,80.56,81.50,80.12,80.23,11864204
2-Jul-15,82.12,82.32,81.78,82.07,6760209
1-Jul-15,82.60,83.00,81.99,82.46,5949978
30-Jun-15,82.58,83.69,81.96,82.27,12624595
29-Jun-15,81.64,82.88,80.80,81.07,15199761
26-Jun-15,84.63,84.65,82.82,83.28,12668574
25-Jun-15,85.47,85.60,84.90,85.24,8949824
24-Jun-15,85.16,85.81,84.85,85.17,9434264
23-Jun-15,85.98,86.34,84.83,85.08,11411344
22-Jun-15,86.07,86.40,85.58,85.68,7154206
19-Jun-15,86.51,86.60,85.17,85.74,10316974
18-Jun-15,86.97,87.59,86.32,86.75,11737153
17-Jun-15,86.58,87.80,86.48,86.80,10241517
16-Jun-15,86.00,86.70,85.61,86.09,10974185
15-Jun-15,86.30,87.17,86.05,86.12,10230405
12-Jun-15,87.42,87.79,86.48,86.63,9977141
11-Jun-15,89.03,89.48,87.10,87.21,13716159
10-Jun-15,87.70,88.99,87.20,88.90,12551297
9-Jun-15,88.04,88.18,86.12,87.58,16081784
8-Jun-15,90.65,91.60,88.24,88.29,15702324
5-Jun-15,90.46,91.60,90.46,90.71,11353884
4-Jun-15,90.71,91.41,90.27,90.59,8689039
3-Jun-15,90.73,91.04,89.90,90.79,9428006
2-Jun-15,90.55,91.54,90.19,90.51,9865253
1-Jun-15,90.09,90.99,89.49,90.78,9905935
29-May-15,91.35,91.50,89.32,89.32,13893161
28-May-15,91.69,91.93,90.58,90.95,14212989
27-May-15,92.22,92.99,91.60,92.60,9519276
26-May-15,93.65,93.92,91.55,92.52,15674909
22-May-15,94.28,95.06,93.19,93.27,22183344
21-May-15,91.35,94.77,90.92,93.88,40729389
20-May-15,88.14,90.80,87.30,90.70,29812284
19-May-15,86.99,88.80,86.47,88.21,20727734
18-May-15,87.61,87.93,86.61,87.11,13490194
15-May-15,88.51,88.96,88.05,88.46,13424597
14-May-15,87.74,88.48,87.53,88.40,12087851
13-May-15,87.08,88.47,87.00,87.53,19015929
12-May-15,87.05,87.50,86.14,86.77,16077757
11-May-15,86.70,87.67,86.06,86.72,19776949
8-May-15,87.82,88.27,86.89,87.06,30140638
